name,code,xREF,region,incomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Estonia,EST,EST,Europe & Central Asia,High income,697034,714269,733452,753250,773863,794190,812599,828812,846346,865089,883329,901671,919299,935590,951152,966085,980438,995091,1009340,1020447,1029784,1040236,1050928,1061357,1071506,1081872,1093150,1104917,1115040,1119881,1117738,1109251,1086348,1055960,1030882,1009954,992487,978597,966608,960125,969061,961159,953352,945646,938279,931205,924006,918084,913914,910446,906655,902194,897251,892561,888922,886097
Ethiopia,ETH,ETH,Sub-Saharan Africa,Low income,1424988,1507630,1596234,1690637,1791225,1897778,2010268,2128742,2225695,2328988,2440280,2560795,2690453,2824235,2955853,3080984,3196459,3304271,3412154,3530921,3668481,3829501,4012652,4216183,4435910,4670075,4916522,5176868,5453264,5748480,6065286,6405834,6768220,7150001,7544795,7914191,8274243,8638318,9010447,9393985,9793787,10209042,10641737,11089384,11551561,12027524,12518185,13036550,13716443,14424585,15164831,15936440,16741924,17578402,18449308,19353367
Finland,FIN,FIN,Europe & Central Asia,High income,2449145,2512483,2567399,2623429,2675999,2722631,2770510,2823091,2873315,2908731,2934402,2975881,3032758,3088806,3143576,3195817,3243412,3289888,3336370,3381500,3428217,3481318,3541666,3603091,3662085,3716264,3765683,3812087,3858255,3906513,3957581,4003120,4040047,4073879,4105674,4135420,4162332,4187218,4210769,4232899,4253964,4273258,4290649,4307931,4327463,4349276,4372951,4398523,4426008,4454167,4481510,4509337,4537936,4566126,4592367,4617006
Fiji,FJI,FJI,East Asia & Pacific,Upper middle income,116760,123155,129942,136982,144104,151143,158046,163958,169557,175175,180925,186842,192904,199091,205371,211730,218083,223264,228317,233818,239930,246836,254382,261963,268744,274154,277898,283833,289782,295973,303189,311699,321311,331705,342352,352821,363073,370519,377132,383206,388641,393266,397176,400841,404914,409850,415879,422849,430465,438194,445696,452866,459772,466447,472957,479332
France,FRA,FRA,Europe & Central Asia,High income,28968650,29703735,30550684,31576957,32586168,33551445,34459572,35313433,36015275,36481398,36973537,37501984,38056501,38614520,39145575,39564232,39813654,40015297,40188949,40361659,40554832,40773314,41014270,41274869,41548368,41830023,42121076,42422152,42726704,43026108,43332245,43467992,43785893,44077098,44342925,44604028,44863821,45123546,45390695,45743986,46214921,46709571,47206863,47699500,48209406,48730237,49228312,49690037,50124942,50540084,50945804,51348967,51753046,52154241,52723966,53126028
Faroe Islands,FRO,FRO,Europe & Central Asia,High income,7327,7690,8072,8463,8868,9292,9690,9956,10230,10504,10785,11078,11370,11666,11971,12291,12626,12976,13152,13280,13413,13547,13680,13815,13956,14103,14267,14440,14583,14639,14695,14635,14364,14046,13781,13638,14562,15721,16089,16443,16893,17477,18042,18510,18879,19229,19473,19605,19712,19801,19877,19941,19997,20056,20129,20225
"Micronesia, Fed. Sts.",FSM,FSM,East Asia & Pacific,Lower middle income,9938,10364,10803,11262,11757,12295,12893,13540,14189,14772,15240,15569,15780,15942,16082,16328,16724,17249,17880,18574,19296,19935,20568,21205,21823,22407,22939,23421,23879,24355,24871,25443,26049,26629,27102,26962,26515,25921,25234,24525,23989,23931,23889,23852,23798,23714,23592,23451,23309,23189,23105,23078,23102,23173,23283,23424
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,86849,92415,99891,108019,116900,126605,137252,148886,161462,174804,188838,205083,222143,240043,259017,279191,300656,323326,347263,372401,398722,426128,447636,470085,493548,517993,543480,569970,598686,628193,658427,689296,720789,752881,785648,818726,852113,885754,919475,953032,986248,1019062,1051529,1083868,1116383,1149355,1182817,1216741,1251147,1286032,1321393,1357218,1393522,1430161,1466925,1503695
United Kingdom,GBR,GBR,Europe & Central Asia,High income,41104656,41381472,41661202,41900114,42098400,42294196,42452048,42603817,42733856,42833742,42925829,43056861,43295638,43470962,43590038,43677888,43757644,43833733,43925435,44054299,44195960,44271630,44228171,44215089,44257473,44329755,44404206,44470325,44540723,44628280,44733264,44855736,45011752,45154426,45304828,45459651,45610451,45762480,45931122,46119137,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705,49913475,50463084,51030310,51600299,52128504,52644143,53205707,53798969
Georgia,GEO,GEO,Europe & Central Asia,Upper middle income,1570123,1613251,1656450,1699844,1743144,1785661,1825872,1863779,1900892,1939040,1904782,1943517,2058158,2096177,2134443,2170431,2206460,2241969,2275678,2310615,2345408,2379998,2415679,2452585,2489286,2527012,2565458,2602758,2644850,2655120,2642925,2650025,2658933,2667710,2629153,2548833,2474230,2418062,2383654,2354437,2325705,2298386,2278406,2251660,2224847,2198493,2172434,2146112,2120788,2097321,2075637,2054370,2033447,2012948,1992752,1973452
Ghana,GHA,GHA,Sub-Saharan Africa,Lower middle income,1546789,1634032,1725452,1819650,1914986,2009908,2103423,2195975,2290376,2390976,2489513,2575269,2669844,2768568,2864861,2954240,3034105,3107101,3180278,3264197,3366235,3489595,3631852,3787647,3965303,4183134,4401756,4622827,4848963,5083704,5330684,5591385,5864482,6147195,6436068,6727862,7021522,7318018,7622093,7939131,8269632,8605230,8959099,9330533,9717922,10118951,10534273,10964172,11407937,11863933,12332252,12811755,13300800,13797813,14301900,14812854
Gibraltar,GIB,GIB,Europe & Central Asia,High income,21529,21797,22133,22510,22894,23256,23590,23901,24185,24438,24661,24844,24991,25121,25266,25443,25666,25922,26185,26409,26568,26651,26671,26650,26621,26611,26623,26653,26700,26760,26833,26924,27035,27146,27235,27285,27284,27246,27211,27233,27351,27580,27903,28290,28694,29080,29437,29770,30089,30407,30732,31067,31402,31720,31997,32217
Guinea,GIN,GIN,Sub-Saharan Africa,Low income,374627,397390,421434,446953,474175,503261,534469,567729,602551,638035,673501,708757,743884,778936,814455,850802,888090,926468,967429,1012801,1064314,1123292,1190644,1252692,1300763,1351998,1405031,1460833,1523499,1598948,1691112,1802656,1930966,2067242,2199269,2317629,2418753,2504992,2581056,2653867,2729237,2808077,2889411,2975672,3069236,3172116,3285840,3410841,3545822,3689011,3838484,3994332,4157052,4326514,4502663,4685478
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,44626,46455,48075,50042,53963,58258,62995,68193,73924,80231,87202,94938,103516,112379,119680,127277,135138,143331,152019,161415,171726,182971,195193,208755,224400,241729,261019,282203,304808,328015,351249,374194,396975,419310,440276,462129,484996,508800,533801,560207,588232,618029,649692,683167,717992,754008,791205,829623,869364,910490,953109,997231,1042810,1089753,1137928,1187228
Guinea-Bissau,GNB,GNB,Sub-Saharan Africa,Low income,83831,85701,87535,89409,91423,93637,96096,98779,101654,104642,107714,110853,114076,117371,120736,124168,127648,131189,134844,139648,149622,160377,171988,184451,197789,211960,227038,243058,260067,278060,297122,317263,335113,351237,367984,385356,403381,422049,441388,461418,482167,503625,525864,548940,572913,597796,623683,650587,678663,708067,739000,771170,804568,838981,874149,909842
Equatorial Guinea,GNQ,GNQ,Sub-Saharan Africa,Upper middle income,64383,66693,67668,68700,69927,71404,73253,75362,77294,78444,78411,77055,74598,71443,68185,65302,62840,60804,59606,59729,61487,65140,70510,76908,85659,94133,101951,109225,116201,123358,131115,139553,148564,158125,168215,174105,180106,186287,192660,199235,206020,213015,220220,227679,235339,243186,251204,259415,267881,276660,285822,295389,305337,315668,326351,337373
Greece,GRC,GRC,Europe & Central Asia,High income,4660434,4740951,4844217,4937007,5029578,5127549,5239942,5357301,5466737,5560616,5646740,5735846,5817963,5888911,5955084,6055755,6195478,6321574,6449432,6575885,6686402,6785832,6846785,6905833,6959420,7005470,7047717,7090422,7135291,7191693,7287341,7392680,7462054,7518737,7569094,7617319,7663691,7714274,7770011,7812670,7857551,7919906,7991509,8052786,8114802,8180275,8246206,8308341,8371303,8433780,8484693,8511794,8504658,8480823,8461009,8443269
Grenada,GRD,GRD,Latin America & Caribbean,Upper middle income,27257,27852,28381,28842,29240,29579,29853,30061,30216,30336,30418,30403,30391,30358,30269,30107,29841,29497,29195,29096,29301,29879,30754,31756,32618,33152,33281,33075,32684,32335,32186,32318,32820,33447,34081,34635,35088,35469,35799,36117,36452,36773,36815,36865,36919,36976,37038,37107,37182,37264,37350,37441,37551,37683,37839,38020
Greenland,GRL,GRL,Europe & Central Asia,High income,19024,20155,21492,22926,24265,25892,27334,28849,30461,32095,33753,34660,35585,36218,36705,36897,37089,37033,37075,37567,38213,39013,39588,40240,40896,41475,41900,42559,43301,43886,44312,44418,44406,44438,44790,45143,45335,45487,45638,45708,45859,46122,46473,46739,46997,47175,47220,47213,47196,47360,48018,48217,48402,48368,48439,48503
Guatemala,GTM,GTM,Latin America & Caribbean,Lower middle income,1284536,1346990,1412577,1481235,1549657,1607069,1666499,1728013,1791855,1858391,1927742,2000263,2075735,2151036,2220190,2290455,2361615,2433835,2507653,2583627,2662438,2749075,2852350,2958844,3067711,3178163,3290175,3403888,3520395,3640573,3765720,3895995,4031563,4171793,4316470,4465055,4617624,4774236,4935613,5102250,5274742,5453242,5637484,5826991,6021103,6218923,6420315,6625483,6834549,7048111,7266393,7489274,7716961,7949113,8186320,8428195
Guam,GUM,GUM,East Asia & Pacific,High income,33469,34874,36414,38065,39793,41565,43375,45226,47119,49048,51938,57569,63060,68324,73335,78074,82541,86737,90697,94449,97626,99555,101526,103536,105577,107645,109721,111798,113897,116050,118472,121615,124831,128035,131119,133997,136640,139053,141209,143091,144655,145832,146759,147462,147965,148312,148491,148550,148678,149116,150031,151507,153483,155802,158223,160569
Guyana,GUY,GUY,Latin America & Caribbean,Upper middle income,163675,169075,174697,180276,185450,189969,193725,196818,199457,201958,204669,207857,211100,214473,218031,221806,225873,230152,234249,237669,239823,239438,238035,235788,232949,229765,226249,222449,218720,215496,213081,211613,211009,211042,211371,211737,212106,212517,212871,213041,212972,212589,211919,211111,210462,210134,210156,210501,211098,211869,212742,213696,214774,215996,217396,219026
"Hong Kong SAR, China",HKG,HKG,East Asia & Pacific,High income,2620415,2702168,2828656,2937424,3019108,3109377,3146833,3237272,3316715,3379985,3473191,3561442,3648314,3770528,3870484,4001832,4069679,4145727,4238137,4493175,4631623,4758050,4848078,4937590,5001316,5069901,5206825,5414958,5532437,5634683,5676947,5742337,5799282,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,7241700,7305700
Honduras,HND,HND,Latin America & Caribbean,Lower middle income,455471,482469,511271,541531,572837,604722,637127,670179,704305,739997,777842,818010,860577,905689,952057,997894,1046490,1097920,1152100,1208803,1267825,1329111,1392741,1458826,1527579,1598996,1673161,1749988,1828559,1905243,1983901,2064461,2146823,2230546,2315361,2400890,2486875,2573337,2660453,2748605,2837979,2928506,3028080,3129802,3233167,3337989,3444515,3552601,3661531,3770548,3879203,3987219,4094734,4202151,4310215,4419480
Croatia,HRV,HRV,Europe & Central Asia,High income,1248376,1294887,1344715,1395476,1447098,1499464,1552551,1606732,1661637,1716633,1773046,1829083,1881121,1933287,1985291,2036988,2088738,2134255,2190570,2242990,2296799,2344919,2374928,2403578,2430839,2458200,2485708,2511773,2537431,2559402,2583064,2450509,2435033,2534090,2546015,2562907,2473093,2522372,2489458,2525102,2460281,2474190,2480894,2488176,2495473,2505555,2513395,2520624,2529798,2537286,2541859,2474200,2478342,2483578,2486069,2490878
Haiti,HTI,HTI,Latin America & Caribbean,Low income,602850,629952,658298,687868,718762,750865,784390,819267,855428,892549,930521,969272,991063,1009493,1028620,1048838,1070225,1092801,1116600,1141808,1168543,1196785,1226487,1302253,1391406,1485028,1583256,1686119,1793885,1906374,2024134,2147014,2275188,2363888,2454974,2548475,2644562,2741191,2840010,2940866,3043516,3238067,3439806,3648521,3864801,4083681,4305401,4529042,4753573,4978007,5201401,5423052,5642496,5859024,6072151,6281505
Hungary,HUN,HUN,Europe & Central Asia,High income,5582136,5650018,5710839,5768389,5829329,5888035,5948507,6013391,6079237,6147411,6214324,6276403,6339439,6404030,6476897,6559474,6640071,6715287,6782725,6839204,6875576,6895431,6910744,6919717,6925194,6931780,6938994,6946357,6954686,6898019,6830026,6816672,6800940,6780138,6757831,6735415,6710863,6684288,6655715,6623887,6593735,6588305,6611324,6633742,6660205,6693171,6734020,6774378,6812918,6852085,6885916,6915193,6927587,6955430,6982598,7012074
Indonesia,IDN,IDN,East Asia & Pacific,Lower middle income,12805416,13359388,13937385,14542567,15175879,15837772,16530973,17255493,18008881,18792477,19603445,20445315,21523170,22711492,23954541,25251978,26605143,28010966,29477937,31006079,32601271,34445823,36472749,38586526,40783092,43050032,45389398,47800744,50288264,52847935,55490637,58362258,61403839,64530428,67749029,71054512,74442675,77908050,81463980,85110093,88851211,91745272,94699016,97713123,100794612,103934623,107139643,110406037,113742797,117143628,120622937,124147162,127709730,131292700,134868666,138419945
Isle of Man,IMN,IMN,Europe & Central Asia,High income,26702,26761,27004,27404,27931,28554,29238,29842,30484,31105,31663,32062,32075,32026,31969,31935,32064,32597,33104,33496,33716,33723,33560,33344,33239,33360,33761,34392,35142,35845,36384,36720,36904,37004,37135,37377,37756,38237,38780,39317,39803,40227,40609,40964,41321,41703,42114,42546,42988,43425,43845,44246,44641,45033,45426,45824
India,IND,IND,South Asia,Lower middle income,80597394,82711244,85270104,87926199,90685977,93534323,96479620,99528560,102693004,105995689,109459181,113270086,117821286,122565619,127509099,132621821,137905348,143368899,149029915,154913681,161046127,167094674,172694859,178465642,184383497,190422087,196583439,202861559,209262114,215784885,222412636,229041105,235534919,242129413,248838086,255660006,262616315,269690046,276868152,284132133,291466608,299249745,307913082,316683356,325568976,334543792,343617891,352796785,362065825,371381904,380743507,390151214,399686039,409362870,419234061,429329716
Ireland,IRL,IRL,Europe & Central Asia,High income,1296121,1306003,1328860,1354239,1378553,1401504,1424843,1448990,1473052,1499259,1529549,1563915,1597717,1634072,1672099,1710683,1747737,1782727,1819520,1855360,1888405,1921042,1944867,1964356,1982219,1991056,1997305,2001761,1997448,1993762,1999662,2016140,2037735,2055778,2071725,2090241,2114994,2145532,2177311,2211419,2250608,2296355,2345367,2394915,2450379,2515791,2596292,2684454,2752001,2792385,2820000,2842693,2861582,2881613,2906635,2934827
"Iran, Islamic Rep.",IRN,IRN,Middle East & North Africa,Upper middle income,7390294,7730792,8086766,8458177,8845953,9250362,9673818,10147476,10660982,11195222,11751194,12330284,12935964,13572846,14249805,14973247,15744750,16526315,17344796,18237562,19215400,20279046,21423069,22640830,23921559,25250919,26636455,27988907,29306069,30538979,31640108,32576843,33513746,34416111,35331867,36333531,37450382,38612407,39816023,41017630,42171697,43266592,44319660,45342427,46354897,47373098,48397258,49389852,50378369,51392704,52442187,53531237,54657099,55796648,56931552,58046428
Iraq,IRQ,IRQ,Middle East & North Africa,Upper middle income,3127234,3321449,3528453,3749759,3987432,4242422,4487187,4737200,5002622,5280598,5569344,5867813,6176424,6495467,6827089,7171881,7530312,7900771,8252794,8598020,8945817,9296245,9649988,10005012,10359298,10711420,11060240,11408373,11672389,11914793,12183532,12481221,12805518,13154071,13522091,13905775,14305350,14720315,15182707,15665416,16147761,16629403,17112440,17597338,18085363,18579000,19074551,19576143,20101406,20673743,21309523,22019983,22798435,23623444,24465909,25303697
Iceland,ISL,ISL,Europe & Central Asia,High income,140986,144661,148268,151829,155450,159059,162665,166198,169365,171812,173568,175738,179084,182557,185790,188920,191538,193688,195917,198545,201355,204294,207668,211056,213929,216226,218415,221413,225500,228892,231255,234420,237854,240747,243303,245081,246857,249329,252455,255931,259836,263687,266425,268644,271378,276072,283000,290623,296449,297832,297763,299025,300960,304150,307880,311427
Israel,ISR,ISR,Middle East & North Africa,High income,1624582,1703972,1805829,1891353,1985742,2074492,2146053,2259135,2325145,2404654,2503959,2602174,2686849,2812295,2911784,2993516,3075582,3159569,3241222,3339820,3435249,3518466,3599159,3678408,3731413,3802419,3866349,3934022,4004463,4077721,4210729,4477014,4639645,4769938,4900510,5038520,5176476,5311285,5438029,5582264,5735757,5876682,6000381,6113918,6227239,6342289,6459778,6579915,6702316,6869011,7000294,7135683,7273626,7415707,7564688,7721701
Italy,ITA,ITA,Europe & Central Asia,High income,29799044,30249038,30708292,31188380,31702827,32227841,32737193,33233152,33703021,34152929,34592379,35012585,35369083,35720365,36065654,36393136,36687131,36955192,37198851,37418639,37607540,37764025,37819718,37822134,37819273,37818886,37809627,37802166,37809110,37826147,37846480,37861339,37907512,37964793,38006634,38041344,38086153,38140443,38185563,38226137,38277624,38333314,38447500,38686985,39006818,39267369,39454178,39722857,40056298,40308358,40502481,40641670,40820430,41372290,41835694,41931550
Jamaica,JAM,JAM,Latin America & Caribbean,Upper middle income,550098,569911,591475,614271,637352,659982,682313,704167,726109,748970,772346,793472,816172,839804,863290,885982,907945,928789,949556,971924,996943,1022465,1051934,1075943,1099368,1119127,1135853,1147845,1155484,1169401,1181712,1194744,1209002,1223832,1239226,1255252,1276421,1294783,1312523,1327664,1341666,1356270,1366496,1376311,1386219,1396112,1406059,1416014,1426038,1436070,1446130,1456023,1465654,1475043,1484225,1493489
Jordan,JOR,JOR,Middle East & North Africa,Upper middle income,452127,486305,512345,535921,566488,607625,661299,725660,795702,864306,926191,979705,1026334,1067548,1106145,1144422,1182360,1219805,1258996,1302610,1369063,1454032,1548764,1651033,1757186,1864422,1970249,2075894,2187457,2313865,2461444,2634712,2829898,3034397,3229952,3385492,3498886,3588519,3661895,3730837,3804827,3884401,3969126,4066202,4184317,4329155,4503920,4705680,4926065,5152616,5375518,5592449,5803296,6003534,6188499,6355041
Japan,JPN,JPN,East Asia & Pacific,High income,58526962,60965749,62428798,63957880,65516029,67107937,68559722,70019991,71062053,73357355,75000056,76805782,78731730,80216234,82593959,84756490,85642808,86538157,87391419,88197927,88958689,89733659,90474900,91224787,91937389,92632808,93348378,93963675,94519909,95061557,95542280,96005316,96414127,96821759,97320876,97862490,98272808,98667335,99095072,99434460,99760751,101706485,104055019,106256267,108136910,109856670,111305857,112657520,113859533,114913219,115931525,116630709,117231560,117776764,118259272,118703632
Kazakhstan,KAZ,KAZ,Europe & Central Asia,Upper middle income,4293509,4532708,4770603,5003536,5228041,5452216,5662917,5859779,6046922,6230759,6408730,6581101,6755503,6929978,7100797,7231119,7353713,7470406,7584615,7712618,7860836,8014706,8172964,8336063,8504655,8627224,8755397,8885484,9004706,9157731,9198366,9241068,9219538,9143728,8997216,8844256,8714741,8581354,8437818,8349469,8294496,8250388,8220862,8218447,8245281,8288303,8345355,8410084,8481358,8675253,8769912,8871192,8976360,9090193,9213427,9341721
Kenya,KEN,KEN,Sub-Saharan Africa,Lower middle income,596722,632543,670816,716059,765269,817880,874399,935127,1000339,1070470,1158441,1256443,1363223,1479144,1605055,1741613,1889876,2050077,2223782,2412014,2535028,2650274,2770933,2896541,3026838,3161246,3299705,3441859,3587714,3736859,3926774,4130215,4340660,4556775,4776684,4999137,5223677,5450607,5682910,5923892,6179613,6448809,6731606,7028280,7338623,7661904,7999252,8351571,8719733,9103961,9505787,9927120,10367724,10827096,11304277,11799008
Kyrgyz Republic,KGZ,KGZ,Europe & Central Asia,Lower middle income,742514,778534,813050,849091,886206,922554,960953,999643,1039135,1077271,1108956,1136657,1165888,1195196,1226436,1257236,1287423,1317380,1346753,1373807,1397293,1421871,1448346,1476863,1504955,1531357,1558567,1586429,1612568,1639650,1658864,1673404,1679864,1667475,1654017,1657660,1669279,1680607,1693186,1708661,1729037,1745422,1761468,1779932,1801551,1821882,1841521,1859060,1876703,1899444,1923272,1948970,1985117,2029486,2076563,2127066
Cambodia,KHM,KHM,East Asia & Pacific,Lower middle income,588546,604430,622738,648834,674842,700397,724789,810017,903192,1006246,1121443,1341581,1599513,1889204,2197018,338103,358199,374536,389485,407638,664971,863208,905010,958886,1018545,1078686,1137955,1197954,1260160,1326939,1400517,1481241,1568081,1659876,1754801,1851318,1949049,2047775,2136799,2203158,2267103,2328314,2386749,2443103,2498555,2553988,2609448,2665153,2721662,2781625,2845426,2913804,2986771,3063813,3144414,3228208
Kiribati,KIR,KIR,East Asia & Pacific,Lower middle income,6717,7150,7608,8090,8594,9117,9659,10219,10798,11505,12328,13186,14079,15008,15749,16333,16941,17570,18220,18744,19157,19564,19970,20401,20892,21468,22164,22947,23775,24586,25334,25995,26586,27138,27697,28300,29500,31075,32735,34465,36259,37325,37987,38679,39416,40210,41069,41994,42965,43951,44932,45900,46857,47819,48798,49808
St. Kitts and Nevis,KNA,KNA,Latin America & Caribbean,High income,14153,14472,14731,14930,15079,15184,15242,15255,15255,15284,15323,15268,15291,15365,15448,15509,15541,15550,15543,15531,15503,15366,15234,15100,14959,14808,14642,14469,14309,14191,14132,14137,14179,14263,14363,14460,14547,14631,14716,14814,14928,15063,15220,15392,15571,15748,15922,16095,16271,16454,16651,16861,17084,17318,17560,17809
"Korea, Rep.",KOR,KOR,East Asia & Pacific,High income,6930929,7351204,7811004,8289479,8779189,9286249,9815880,10537106,11362681,12225296,13123306,13896560,14639182,15391092,16159311,16946391,17823527,18743336,19679806,20636698,21623805,22617087,23619800,24621925,25577374,26473134,27480866,28537079,29585374,30626132,31656393,32459655,33169705,33872973,34575766,35280305,35810625,36259672,36633453,37006183,37428328,37857475,38240134,38599492,38912887,39157919,39436680,39670749,40007239,40248121,40484877,40837559,41074148,41305176,41529169,41745902
Kuwait,KWT,KWT,Middle East & North Africa,High income,196191,223298,256934,295832,337936,382233,430637,480856,532882,586894,642615,698381,755734,814691,875397,939593,1012227,1085803,1160265,1235555,1312093,1389495,1464389,1539158,1617318,1698930,1785224,1878287,1961511,2012532,2017120,1966727,,,,1604994,1606081,1653728,1732423,1817924,1893061,1952769,2004271,2057364,2126743,2222565,2346535,2493328,2657460,2830764,3006330,3183435,3361243,3532956,3690294,3827584
Lao PDR,LAO,LAO,East Asia & Pacific,Lower middle income,168451,173977,179706,185629,191781,198176,204752,216873,229783,243602,258530,274722,292169,309024,323760,337734,350688,362752,374730,387699,402587,419673,438988,460309,483358,508007,534399,562409,591987,623085,655739,689918,725496,762116,799332,844184,905556,969127,1035029,1103330,1174205,1247302,1322983,1401780,1485007,1573329,1666229,1763359,1864353,1968086,2073680,2180794,2289388,2399655,2511899,2626533
Lebanon,LBN,LBN,Middle East & North Africa,Upper middle income,764260,821153,880852,942370,1004419,1065741,1125240,1182814,1240373,1300762,1366380,1437089,1512398,1589259,1661769,1725148,1776942,1818076,1852040,1884341,1919372,1959173,2002876,2047860,2089854,2125804,2153987,2176385,2198921,2215247,2246749,2297544,2365233,2441278,2513309,2572935,2614689,2642977,2670843,2711098,2782427,2893356,3037782,3196140,3340416,3451987,3517576,3547049,3572785,3640708,3781263,4008736,4305081,4628654,4920125,5136484
Liberia,LBR,LBR,Sub-Saharan Africa,Low income,208737,220862,233691,247263,261687,277006,293312,310657,329116,348690,369484,391542,414962,439828,466388,494818,524777,556125,589526,625841,665546,709444,756963,804947,861942,931122,992119,1044668,1089445,1128645,1165456,1198315,1116155,1043482,988999,955932,944263,1024265,1116502,1206043,1282038,1339641,1382325,1417178,1455573,1505769,1570414,1646411,1729440,1812957,1891959,1965049,2033943,2100517,2167853,2238254
Libya,LBY,LBY,Middle East & North Africa,Upper middle income,391969,418403,446864,477601,510955,578131,655823,741667,836013,938759,1050176,1170130,1298470,1434090,1539727,1646053,1755903,1869026,1986253,2108651,2236913,2371144,2510725,2653526,2796841,2897759,2991027,3080497,3166435,3249641,3330615,3409366,3485854,3560521,3634100,3707141,3779883,3852810,3926189,4000100,4074788,4149449,4223959,4299706,4378593,4461387,4550513,4644233,4734566,4810423,4864812,4893326,4900300,4898122,4904477,4931964
St. Lucia,LCA,LCA,Latin America & Caribbean,Upper middle income,19293,19724,20198,20710,21253,21822,22419,23043,23679,24304,24902,25464,25996,26518,27066,27662,28320,29030,29781,30548,31313,32065,32816,33586,34407,35299,36277,37328,38422,39510,40554,41448,41685,41881,42075,42296,42551,42831,43116,43375,43591,43586,42184,40791,39448,38184,36998,35874,34772,33660,32730,33077,33374,33652,33932,34232
Liechtenstein,LIE,LIE,Europe & Central Asia,High income,3373,3432,3477,3525,3576,3631,3690,3753,3815,3874,3924,3990,4066,4139,4214,4294,4382,4474,4567,4653,4727,4769,4784,4792,4797,4803,4811,4820,4832,4847,4866,4897,4938,4982,5030,5082,5103,5093,5081,5062,5036,5037,5067,5092,5114,5137,5160,5183,5206,5227,5247,5265,5285,5308,5334,5363
Sri Lanka,LKA,LKA,South Asia,Lower middle income,1626012,1687075,1749516,1790051,1882621,1967767,2058105,2149139,2247541,2343195,2441982,2526579,2561268,2588091,2607118,2629426,2652868,2676725,2704330,2737813,2769339,2772826,2817517,2861030,2904515,2948840,2993850,3039381,3084639,3128721,3170701,3210782,3249125,3284821,3316586,3344413,3367393,3386090,3402545,3420081,3440542,3464475,3488185,3512417,3536614,3561145,3585824,3610455,3635429,3660550,3685819,3711234,3736979,3765957,3805247,3848519
Lesotho,LSO,LSO,Sub-Saharan Africa,Lower middle income,29902,34304,39368,45178,51825,59411,67240,72095,77308,82887,88855,95228,101872,108760,116233,124355,132086,136260,140636,145133,149698,154314,158977,163613,168146,172502,177992,188419,199266,210764,223128,236485,250814,265924,281522,297361,312623,325188,337694,350229,362855,375552,388354,401345,414703,428481,442787,455531,468869,482854,497680,513381,529968,547241,565033,583117
Lithuania,LTU,LTU,Europe & Central Asia,High income,1096416,1141928,1186429,1230140,1275080,1320810,1367610,1415159,1462669,1507983,1555873,1612378,1670055,1726365,1782668,1838525,1894509,1950350,2005471,2050971,2087446,2126573,2168688,2213306,2258826,2305300,2354675,2406331,2459117,2492104,2499110,2501142,2496245,2482228,2462904,2441841,2421184,2401277,2381814,2362861,2344199,2322637,2300933,2279211,2250685,2213967,2181225,2157761,2137953,2114156,2067653,2018905,1989976,1968460,1950669,1935515
Luxembourg,LUX,LUX,Europe & Central Asia,High income,218385,221560,225946,229959,234207,238541,241914,244349,246598,249419,252255,256528,261780,266787,272384,277458,280890,283399,285895,288518,291473,293802,294251,294534,295042,295818,297355,299492,301882,305040,309096,313973,319732,325361,332341,338722,343082,347217,352047,359223,367434,374603,380583,387241,394773,402818,411237,419557,429035,438935,448892,460842,473853,486677,499975,513620
Latvia,LVA,LVA,Europe & Central Asia,High income,1121298,1155193,1188070,1221599,1255757,1287767,1315521,1343866,1375002,1404638,1432319,1459887,1488241,1517255,1547223,1575779,1601843,1627400,1652200,1671120,1685226,1699098,1714098,1731364,1749443,1768075,1788258,1810950,1833841,1845533,1844232,1834229,1800024,1763518,1736816,1708476,1686883,1668936,1649682,1630787,1611520,1588107,1567452,1551233,1536660,1522383,1507751,1494021,1476965,1451281,1419877,1392775,1374142,1358054,1344228,1333112
"Macao SAR, China",MAC,MAC,East Asia & Pacific,High income,163379,166953,172980,180727,189583,199000,208990,219404,229339,237649,243547,246793,247663,246708,244883,242978,241083,239266,238322,239208,242589,248865,258022,269185,281527,294377,307637,321287,334780,347463,358882,368764,377191,384529,391356,398100,405150,412031,418810,425448,431907,438088,444178,450754,458579,468149,479728,493022,507274,521405,534626,546682,557763,568056,577914,587606
Morocco,MAR,MAR,Middle East & North Africa,Lower middle income,3619288,3794716,3975451,4160668,4349284,4539833,4732571,4927461,5124861,5325447,5529973,5738449,5972182,6214590,6467710,6733689,7013662,7307127,7614735,7936404,8271631,8620579,8983260,9355906,9735507,10118322,10503091,10889578,11279150,11673095,12073616,12480717,12892871,13306898,13720212,14040524,14335646,14623456,14903817,15176420,15440777,15696662,15946266,16193356,16444078,16750299,17076714,17413788,17764786,18133027,18521028,18930675,19360730,19803990,20250619,20693543
